product_id	review_id	star_rating	distance_original	distance_opposite	distance_adjusted	similarity_score	product_similarity_score	product_title	review_body
B001PO5J9W	R9271T6E6PH7R	4.0	0.11489326	0.29635894	0.11489325761795044	0.253231392663991	0.4440632639254776	Disguise Marvel The Wolverine Deluxe Mask Adult Costume Accessory	Assume mask with adult costume. Had to trim around eyes to make mask fit. Easy enough to do if careful.
B001PO5J9W	REO6ROVU9UX6K	5.0	0.118965745	0.29196888	0.118965744972229	0.22676155646123564	0.4440632639254776	Disguise Marvel The Wolverine Deluxe Mask Adult Costume Accessory	fits great, very 90's wolverine. decent price. it's hard to find higher quality mask at this price range, custom wolverine masks will be quite a lot more. price point seems as though you could use it as a base for project/repaint/cloth over/cosplay. simply having it as a display is cool too.
B001PO5J9W	RN8DGQNCV5GPT	5.0	0.12475848	0.29909426	0.12475848197937012	0.1891106599928717	0.4440632639254776	Disguise Marvel The Wolverine Deluxe Mask Adult Costume Accessory	I didn't have to make any adjustments, mask fits perfect, went great with my shirt
B001PO5J9W	R3LWRPAB4LBGIZ	4.0	0.1336534	0.30211002	0.1336534023284912	0.13129658613689543	0.4440632639254776	Disguise Marvel The Wolverine Deluxe Mask Adult Costume Accessory	Fits good. I needed to trim the eye holes a bit and needed to reshape the ears but otherwise it's pretty awesome.
B001PO5J9W	R14ZTEO4YNZTAH	4.0	0.13391852	0.30369365	0.13391852378845215	0.12957338333514123	0.4440632639254776	Disguise Marvel The Wolverine Deluxe Mask Adult Costume Accessory	Had to cut the eye sockets a bit larger because it kept rubbing on my eye but otherwise this mask was perfect
B001PO5J9W	R2EPXG1GFVYYVU	4.0	0.13522553	0.31240612	0.13522553443908691	0.12107824146534218	0.4440632639254776	Disguise Marvel The Wolverine Deluxe Mask Adult Costume Accessory	Great Mask! The cool thing was that I found it here on amazon for about $6-$7 during June! I've seen it sell here before for $24-$27. Anyways, the mask looks great and it goes very well with the wolverine muscle costume (check attached picture). The only thing to keep in mind about the mask is that the mask is a one size fits most and the chin strap might be too loose or big for some of you, like it is for me. I will most likely put on the mask and fold the chin strap a bit and use clear tape to keep it tight. lolOverall, great mask, especially if you get it under $20!
B001PO5J9W	R1Y9D0QGSPGVJV	3.0	0.13534886	0.28947604	0.1353488564491272	0.12027668872324926	0.4440632639254776	Disguise Marvel The Wolverine Deluxe Mask Adult Costume Accessory	Love the quality of this mask... however, the eyes are too small.  I had to cut away a significant amount of the mask around the eyes in order to make it fit better.
B00505DU4I	R3T2BQQR2ZU62L	5.0	0.11732441	0.2939765	0.11732441186904907	0.2374296849576173	0.3552529985588322	DC Comics Batman T-Shirt With Cape And Mask	"We were invited to an adult super hero pool party and this costume was the right price and it did not disappoint.  Not the greatest quality, but not super cheap either.  The XL was a bit big for my frame and body (5'9"" with a little beer gut), but it still looked ok.  I wouldn't recommend it for long term use, but for a party or two, it is perfect.  Note I cut off the chin strap part that hangs down, it didn't really serve any purpose and the mask was much more comfortable with it off, which cut off very cleanly and easily."
B00505DU4I	R85Z8HJDTE3PQ	4.0	0.12658238	0.3026095	0.12658238410949707	0.17725589251677487	0.3552529985588322	DC Comics Batman T-Shirt With Cape And Mask	Husband uses these to dress up and play with our kids.
B00505DU4I	R2X5MQNS4CIHGD	5.0	0.13987869	0.29630268	0.13987869024276733	0.09083425020532765	0.3552529985588322	DC Comics Batman T-Shirt With Cape And Mask	Shirt with cape and mask is awesome! Fit true to size. Agree with others that the chin portion of the mask is awkward and not helpful. Best to cut that part off. Otherwise, love the mask!
B00505DU4I	R18XQ67OPHQ3JP	4.0	0.14586973	0.29868996	0.14586973190307617	0.0518944383319645	0.3552529985588322	DC Comics Batman T-Shirt With Cape And Mask	My husband is tall and athletic build it was just a tad big but he didn't mind, the mask on the other hand needs to be a little modified Im sorry I can't put my finger on it exactly
B001PO5JE2	R31HPPPCNMVIB1	4.0	0.12440312	0.29673785	0.12440311908721924	0.1914204025972014	0.33435930986657575	Disguise Men's Marvel Captain America Full Costume Mask	The mask is very well made.  My face is more rounder than the guy in this picture so it didnt fit to well around the bottom and the chin area but for the price it was very nice.
B001PO5JE2	R2JK0PGUJH70BX	5.0	0.12631083	0.31752014	0.1263108253479004	0.1790209356743271	0.33435930986657575	Disguise Men's Marvel Captain America Full Costume Mask	What a great product at a great price… My wife teaches and I showed up in this with the coordinating outfit and was a huge hit!!
B001PO5JE2	R1G3080WJN8MOC	5.0	0.13603413	0.31055456	0.13603413105010986	0.11582262788427267	0.33435930986657575	Disguise Men's Marvel Captain America Full Costume Mask	Awesome mask!Great visibility,  but I think I will add a velcro  strip in back to better fit my head
B001PO5JE2	REKSYEH54ET2K	5.0	0.13623166	0.2891183	0.1362316608428955	0.11453874881839732	0.33435930986657575	Disguise Men's Marvel Captain America Full Costume Mask	Great mask. I did have to use an Exacto Knife to trim the insides around the eyes and on the bridge of the nose as they were not smooth enough against bare skin. It fit well and was comfortable to wear.
